feature,importance,Defect
Orientation_Index,0.20736155321986502,Pastry
Edges_Y_Index,0.1019771856884825,Pastry
Square_Index,0.08289771173293974,Pastry
Outside_Global_Index,0.07425447110765492,Pastry
Log_X_Index,0.06554987189777055,Pastry
Length_of_Conveyer,0.2051601228952175,Z_Scratch
TypeOfSteel_A300,0.10776083808322592,Z_Scratch
Steel_Plate_Thickness,0.10246612847417597,Z_Scratch
TypeOfSteel_A400,0.09792076625383524,Z_Scratch
X_Maximum,0.09030859624922231,Z_Scratch
Log_X_Index,0.137530390895871,K_Scatch
LogOfAreas,0.10917584135951518,K_Scatch
Outside_X_Index,0.09879357098299694,K_Scatch
Steel_Plate_Thickness,0.0951255175158694,K_Scatch
X_Perimeter,0.07280083391922346,K_Scatch
LogOfAreas,0.2276823751498366,Stains
Log_Y_Index,0.18128013098661047,Stains
Pixels_Areas,0.1494789994569135,Stains
Sum_of_Luminosity,0.09620014324561488,Stains
Y_Perimeter,0.08243370515269452,Stains
Orientation_Index,0.14477941236258293,Dirtiness
Square_Index,0.13718314494278241,Dirtiness
X_Maximum,0.09031509846186386,Dirtiness
X_Minimum,0.08759757553645287,Dirtiness
Edges_X_Index,0.08410096659621719,Dirtiness
Square_Index,0.08086896280330962,Bumps
Length_of_Conveyer,0.06564990975933804,Bumps
Y_Perimeter,0.054960544420249606,Bumps
X_Minimum,0.0522212345102146,Bumps
Log_Y_Index,0.0501806116770849,Bumps
Steel_Plate_Thickness,0.08084366779224324,Other_Faults
LogOfAreas,0.06183920347270899,Other_Faults
Pixels_Areas,0.04996921556154529,Other_Faults
Length_of_Conveyer,0.04967467471384242,Other_Faults
Sum_of_Luminosity,0.04875302213864947,Other_Faults
